Date,Start_Hour,End_Hour,Production,Source,Day_of_Year,Day_Name,Month_Name,Season
6/6/2024,22,23,2561,Wind,158,Thursday,June,Summer
9/30/2024,16,17,11102,Wind,274,Monday,September,Fall
4/11/2020,2,3,3011,Wind,102,Saturday,April,Spring
6/29/2022,8,9,2385,Solar,180,Wednesday,June,Summer
6/15/2021,8,9,2124,Solar,166,Tuesday,June,Summer
8/14/2022,2,3,4666,Wind,226,Sunday,August,Summer
5/5/2022,3,4,2050,Wind,125,Thursday,May,Spring
8/7/2022,20,21,6195,Wind,219,Sunday,August,Summer
8/31/2024,16,17,7347,Solar,244,Saturday,August,Summer
6/23/2022,18,19,3896,Wind,174,Thursday,June,Summer
8/10/2025,7,8,3182,Wind,222,Sunday,August,Summer
6/7/2020,6,7,2147,Wind,159,Sunday,June,Summer
1/1/2021,4,5,998,Wind,1,Friday,January,Winter
1/25/2021,2,3,6191,Wind,25,Monday,January,Winter
8/20/2022,23,0,981,Wind,232,Saturday,August,Summer
3/8/2021,22,23,2943,Wind,67,Monday,March,Spring
10/11/2023,23,0,7262,Wind,284,Wednesday,October,Fall
12/31/2020,1,2,5746,Wind,366,Thursday,December,Winter
3/31/2021,9,10,3600,Wind,90,Wednesday,March,Spring
8/23/2020,13,14,8729,Wind,236,Sunday,August,Summer
12/1/2021,21,22,5719,Wind,335,Wednesday,December,Winter
1/11/2024,14,15,8407,Wind,11,Thursday,January,Winter
4/19/2022,21,22,4160,Wind,109,Tuesday,April,Spring
7/30/2023,22,23,5928,Wind,211,Sunday,July,Summer
5/20/2025,18,19,8914,Wind,140,Tuesday,May,Spring
6/13/2025,17,18,8341,Solar,164,Friday,June,Summer
4/30/2025,12,13,5410,Solar,120,Wednesday,April,Spring
7/6/2022,14,15,7868,Solar,187,Wednesday,July,Summer
6/7/2020,10,11,3437,Solar,159,Sunday,June,Summer
2/19/2021,16,17,6776,Wind,50,Friday,February,Winter
5/11/2024,0,1,6497,Wind,132,Saturday,May,Spring
7/7/2021,12,13,5172,Solar,188,Wednesday,July,Summer
7/20/2020,14,15,5919,Solar,202,Monday,July,Summer
2/24/2025,16,17,9544,Wind,55,Monday,February,Winter
4/15/2020,20,21,3450,Wind,106,Wednesday,April,Spring
6/2/2023,6,7,7517,Wind,153,Friday,June,Summer
1/19/2023,2,3,3478,Wind,19,Thursday,January,Winter
11/16/2021,19,20,1157,Wind,320,Tuesday,November,Fall
7/1/2025,4,5,1055,Wind,182,Tuesday,July,Summer
2/21/2023,9,10,3045,Wind,52,Tuesday,February,Winter
8/9/2024,7,8,5677,Wind,222,Friday,August,Summer
3/25/2020,9,10,4738,Wind,85,Wednesday,March,Spring
9/19/2024,15,16,15959,Wind,263,Thursday,September,Fall
8/24/2025,21,22,3236,Wind,236,Sunday,August,Summer
3/4/2022,18,19,3151,Wind,63,Friday,March,Spring
7/21/2023,21,22,3094,Wind,202,Friday,July,Summer
7/4/2025,18,19,5949,Solar,185,Friday,July,Summer
1/3/2024,7,8,17121,Wind,3,Wednesday,January,Winter
9/14/2025,18,19,13786,Wind,257,Sunday,September,Fall
6/30/2024,2,3,3727,Wind,182,Sunday,June,Summer
12/19/2023,16,17,12111,Wind,353,Tuesday,December,Winter
3/26/2022,13,14,13203,Wind,85,Saturday,March,Spring
2/9/2021,5,6,1784,Wind,40,Tuesday,February,Winter
2/5/2025,3,4,2214,Wind,36,Wednesday,February,Winter
5/31/2025,5,6,1059,Wind,151,Saturday,May,Spring
10/31/2021,7,8,10139,Wind,304,Sunday,October,Fall
4/27/2025,14,15,4067,Solar,117,Sunday,April,Spring
2/13/2022,21,22,15035,Wind,44,Sunday,February,Winter
6/23/2024,5,6,2326,Wind,175,Sunday,June,Summer
4/21/2025,11,12,8025,Solar,111,Monday,April,Spring
3/16/2021,5,6,3210,Wind,75,Tuesday,March,Spring
4/29/2023,2,3,1638,Wind,119,Saturday,April,Spring
12/23/2022,20,21,12401,Wind,357,Friday,December,Winter
1/30/2021,16,17,6987,Wind,30,Saturday,January,Winter
7/30/2020,1,2,2163,Wind,212,Thursday,July,Summer
5/5/2021,18,19,8828,Wind,125,Wednesday,May,Spring
2/4/2021,23,0,3467,Wind,35,Thursday,February,Winter
1/19/2021,9,10,11722,Wind,19,Tuesday,January,Winter
7/21/2023,23,0,3035,Wind,202,Friday,July,Summer
6/8/2023,4,5,4806,Wind,159,Thursday,June,Summer
5/14/2023,21,22,3817,Wind,134,Sunday,May,Spring
6/19/2025,6,7,4893,Wind,170,Thursday,June,Summer
5/18/2023,10,11,7144,Solar,138,Thursday,May,Spring
2/15/2025,7,8,5705,Wind,46,Saturday,February,Winter
11/20/2024,12,13,9330,Wind,325,Wednesday,November,Fall
9/22/2020,15,16,2638,Solar,266,Tuesday,September,Fall
12/15/2024,17,18,8504,Wind,350,Sunday,December,Winter
11/20/2024,8,9,5746,Wind,325,Wednesday,November,Fall
6/14/2023,0,1,4779,Wind,165,Wednesday,June,Summer
3/11/2022,17,18,11304,Wind,70,Friday,March,Spring
4/28/2023,18,19,6113,Wind,118,Friday,April,Spring
4/1/2024,14,15,9631,Wind,92,Monday,April,Spring
9/13/2023,14,15,5717,Solar,256,Wednesday,September,Fall
5/29/2021,10,11,4347,Solar,149,Saturday,May,Spring
4/1/2024,19,20,9379,Wind,92,Monday,April,Spring
12/3/2021,2,3,2724,Wind,337,Friday,December,Winter
11/9/2023,18,19,13237,Wind,313,Thursday,November,Fall
1/13/2023,7,8,14510,Wind,13,Friday,January,Winter
1/22/2023,8,9,5974,Wind,22,Sunday,January,Winter
4/13/2020,7,8,5354,Wind,104,Monday,April,Spring
6/29/2022,3,4,1211,Wind,180,Wednesday,June,Summer
4/29/2020,20,21,6006,Wind,120,Wednesday,April,Spring
10/5/2021,14,15,12713,Wind,278,Tuesday,October,Fall
8/27/2025,8,9,3210,Wind,239,Wednesday,August,Summer
6/23/2023,4,5,1872,Wind,174,Friday,June,Summer
5/4/2021,4,5,13020,Wind,124,Tuesday,May,Spring
5/3/2021,3,4,632,Wind,123,Monday,May,Spring
9/10/2023,2,3,3759,Wind,253,Sunday,September,Fall
7/22/2024,10,11,7974,Solar,204,Monday,July,Summer
6/20/2020,20,21,1472,Wind,172,Saturday,June,Summer
9/1/2024,1,2,4179,Wind,245,Sunday,September,Fall
8/7/2023,15,16,9917,Solar,219,Monday,August,Summer
8/9/2022,19,20,7289,Wind,221,Tuesday,August,Summer
5/11/2021,0,1,2157,Wind,131,Tuesday,May,Spring
2/5/2021,23,0,2434,Wind,36,Friday,February,Winter
11/23/2024,14,15,19392,Wind,328,Saturday,November,Fall
2/4/2025,18,19,3899,Wind,35,Tuesday,February,Winter
12/24/2020,0,1,11579,Wind,359,Thursday,December,Winter
6/19/2023,11,12,5286,Solar,170,Monday,June,Summer
2/24/2024,6,7,7785,Wind,55,Saturday,February,Winter
11/20/2023,20,21,8192,Wind,324,Monday,November,Fall
10/26/2021,10,11,3866,Wind,299,Tuesday,October,Fall
9/3/2021,18,19,1713,Solar,246,Friday,September,Fall
8/21/2022,2,3,603,Wind,233,Sunday,August,Summer
5/17/2024,22,23,897,Wind,138,Friday,May,Spring
3/5/2024,20,21,3263,Wind,65,Tuesday,March,Spring
5/24/2023,7,8,5947,Wind,144,Wednesday,May,Spring
9/13/2020,12,13,3974,Solar,257,Sunday,September,Fall
10/7/2021,2,3,1888,Wind,280,Thursday,October,Fall
10/26/2025,3,4,9730,Wind,299,Sunday,October,Fall
11/13/2024,19,20,5232,Wind,318,Wednesday,November,Fall
3/5/2025,0,1,2433,Wind,64,Wednesday,March,Spring
3/17/2022,0,1,5222,Wind,76,Thursday,March,Spring
11/3/2022,8,9,10595,Wind,307,Thursday,November,Fall
4/22/2023,18,19,6589,Wind,112,Saturday,April,Spring
9/6/2024,15,16,6409,Solar,250,Friday,September,Fall
8/23/2021,17,18,7555,Wind,235,Monday,August,Summer
2/6/2020,14,15,4784,Solar,37,Thursday,February,Winter
10/24/2020,21,22,11731,Wind,298,Saturday,October,Fall
4/6/2021,9,10,4798,Wind,96,Tuesday,April,Spring
11/12/2020,3,4,7385,Wind,317,Thursday,November,Fall
4/22/2021,5,6,5855,Wind,112,Thursday,April,Spring
6/18/2021,22,23,3480,Wind,169,Friday,June,Summer
12/6/2022,21,22,2155,Wind,340,Tuesday,December,Winter
11/17/2021,4,5,1951,Wind,321,Wednesday,November,Fall
10/18/2025,10,11,8416,Solar,291,Saturday,October,Fall
4/15/2020,2,3,6207,Wind,106,Wednesday,April,Spring
2/17/2020,22,23,10239,Wind,48,Monday,February,Winter
3/16/2025,4,5,8436,Wind,75,Sunday,March,Spring
5/9/2021,3,4,7771,Wind,129,Sunday,May,Spring
8/12/2020,8,9,2236,Wind,225,Wednesday,August,Summer
10/13/2021,22,23,2205,Wind,286,Wednesday,October,Fall
9/11/2024,21,22,5700,Wind,255,Wednesday,September,Fall
11/7/2024,8,9,2657,Wind,312,Thursday,November,Fall
3/31/2020,23,0,7111,Wind,91,Tuesday,March,Spring
10/18/2023,9,10,11888,Wind,291,Wednesday,October,Fall
12/30/2021,5,6,8676,Wind,364,Thursday,December,Winter
6/5/2021,9,10,4441,Solar,156,Saturday,June,Summer
2/18/2024,14,15,13623,Wind,49,Sunday,February,Winter
8/7/2020,11,12,3922,Solar,220,Friday,August,Summer
2/12/2024,22,23,3745,Wind,43,Monday,February,Winter
3/9/2024,4,5,11240,Wind,69,Saturday,March,Spring
9/5/2022,8,9,3208,Wind,248,Monday,September,Fall
10/14/2020,3,4,1902,Wind,288,Wednesday,October,Fall
10/12/2023,13,14,9093,Solar,285,Thursday,October,Fall
12/20/2023,0,1,9136,Wind,354,Wednesday,December,Winter
11/28/2021,22,23,5114,Wind,332,Sunday,November,Fall
8/29/2024,3,4,2495,Wind,242,Thursday,August,Summer
4/22/2023,9,10,6597,Wind,112,Saturday,April,Spring
10/2/2024,14,15,5400,Solar,276,Wednesday,October,Fall
5/25/2023,11,12,14511,Wind,145,Thursday,May,Spring
1/21/2024,17,18,14481,Wind,21,Sunday,January,Winter
5/21/2020,0,1,2748,Wind,142,Thursday,May,Spring
3/4/2023,18,19,3131,Wind,63,Saturday,March,Spring
3/21/2022,9,10,5460,Wind,80,Monday,March,Spring
1/2/2023,10,11,5987,Wind,2,Monday,January,Winter
1/20/2023,20,21,5467,Wind,20,Friday,January,Winter
7/22/2023,7,8,2381,Wind,203,Saturday,July,Summer
11/17/2025,9,10,8893,Wind,321,Monday,November,Fall
1/15/2025,22,23,3441,Wind,15,Wednesday,January,Winter
10/15/2023,18,19,3213,Wind,288,Sunday,October,Fall
7/5/2024,15,16,11741,Solar,187,Friday,July,Summer
8/15/2024,17,18,8514,Solar,228,Thursday,August,Summer
10/1/2021,13,14,9911,Wind,274,Friday,October,Fall
1/21/2022,4,5,4963,Wind,21,Friday,January,Winter
12/19/2022,7,8,13202,Wind,353,Monday,December,Winter
8/13/2025,5,6,1029,Wind,225,Wednesday,August,Summer
12/22/2021,9,10,3623,Wind,356,Wednesday,December,Winter
5/26/2025,17,18,10107,Wind,146,Monday,May,Spring
3/19/2024,21,22,1227,Wind,79,Tuesday,March,Spring
1/17/2022,1,2,1358,Wind,17,Monday,January,Winter
10/15/2023,19,20,3573,Wind,288,Sunday,October,Fall
2/16/2025,12,13,8762,Solar,47,Sunday,February,Winter
10/7/2022,2,3,1154,Wind,280,Friday,October,Fall
9/15/2021,4,5,1977,Wind,258,Wednesday,September,Fall
3/6/2025,22,23,10880,Wind,65,Thursday,March,Spring
12/9/2021,15,16,5400,Wind,343,Thursday,December,Winter
1/2/2023,0,1,11969,Wind,2,Monday,January,Winter
4/17/2021,23,0,5520,Wind,107,Saturday,April,Spring
7/30/2021,2,3,1817,Wind,211,Friday,July,Summer
8/24/2020,19,20,1914,Wind,237,Monday,August,Summer
5/15/2020,3,4,7329,Wind,136,Friday,May,Spring
11/24/2023,16,17,11600,Wind,328,Friday,November,Fall
9/6/2023,22,23,3137,Wind,249,Wednesday,September,Fall
11/3/2025,16,17,8685,Wind,307,Monday,November,Fall
10/27/2025,16,17,15610,Wind,300,Monday,October,Fall
6/28/2025,0,1,1627,Wind,179,Saturday,June,Summer
6/10/2025,3,4,1674,Wind,161,Tuesday,June,Summer
5/31/2022,2,3,1818,Wind,151,Tuesday,May,Spring
10/14/2020,14,15,7046,Wind,288,Wednesday,October,Fall
8/14/2023,7,8,2587,Wind,226,Monday,August,Summer
7/23/2020,4,5,1527,Wind,205,Thursday,July,Summer
4/16/2022,12,13,10869,Solar,106,Saturday,April,Spring
4/16/2025,18,19,4853,Wind,106,Wednesday,April,Spring
6/5/2021,0,1,2191,Wind,156,Saturday,June,Summer
4/24/2020,22,23,2176,Wind,115,Friday,April,Spring
11/23/2023,12,13,7931,Wind,327,Thursday,November,Fall
11/10/2023,4,5,12591,Wind,314,Friday,November,Fall
9/24/2024,9,10,8855,Wind,268,Tuesday,September,Fall
2/22/2025,15,16,10495,Wind,53,Saturday,February,Winter
5/5/2025,5,6,9828,Wind,125,Monday,May,Spring
3/5/2025,10,11,8585,Solar,64,Wednesday,March,Spring
6/28/2024,4,5,3214,Wind,180,Friday,June,Summer
10/16/2020,11,12,4358,Wind,290,Friday,October,Fall
1/6/2023,5,6,7744,Wind,6,Friday,January,Winter
9/5/2022,5,6,2599,Wind,248,Monday,September,Fall
11/25/2022,12,13,6116,Wind,329,Friday,November,Fall
12/14/2020,0,1,9700,Wind,349,Monday,December,Winter
12/23/2023,9,10,14222,Wind,357,Saturday,December,Winter
10/4/2022,19,20,937,Wind,277,Tuesday,October,Fall
8/26/2020,7,8,8615,Wind,239,Wednesday,August,Summer
10/7/2023,2,3,1790,Wind,280,Saturday,October,Fall
1/26/2020,9,10,3118,Wind,26,Sunday,January,Winter
1/5/2022,20,21,4018,Wind,5,Wednesday,January,Winter
11/26/2025,20,21,2920,Wind,330,Wednesday,November,Fall
6/15/2022,22,23,2879,Wind,166,Wednesday,June,Summer
9/26/2021,1,2,2233,Wind,269,Sunday,September,Fall
7/28/2023,21,22,3768,Wind,209,Friday,July,Summer
6/4/2022,8,9,3189,Wind,155,Saturday,June,Summer
1/10/2020,10,11,6407,Wind,10,Friday,January,Winter
9/30/2024,4,5,12240,Wind,274,Monday,September,Fall
10/1/2024,5,6,7834,Wind,275,Tuesday,October,Fall
11/18/2025,21,22,8784,Wind,322,Tuesday,November,Fall
4/3/2024,23,0,11683,Wind,94,Wednesday,April,Spring
10/31/2025,2,3,10049,Wind,304,Friday,October,Fall
2/22/2025,2,3,10894,Wind,53,Saturday,February,Winter
7/27/2023,14,15,16122,Wind,208,Thursday,July,Summer
9/17/2024,18,19,13680,Wind,261,Tuesday,September,Fall
12/6/2021,10,11,3931,Wind,340,Monday,December,Winter
11/25/2023,2,3,8586,Wind,329,Saturday,November,Fall
2/26/2021,10,11,3948,Wind,57,Friday,February,Winter
7/3/2020,23,0,2522,Wind,185,Friday,July,Summer
3/19/2024,1,2,1178,Wind,79,Tuesday,March,Spring
11/12/2021,12,13,4637,Solar,316,Friday,November,Fall
9/20/2023,16,17,14551,Wind,263,Wednesday,September,Fall
1/23/2022,16,17,3865,Wind,23,Sunday,January,Winter
9/30/2024,12,13,20041,Wind,274,Monday,September,Fall
11/11/2020,22,23,7638,Wind,316,Wednesday,November,Fall
1/17/2021,4,5,5008,Wind,17,Sunday,January,Winter
11/26/2020,6,7,2436,Wind,331,Thursday,November,Fall
9/14/2023,5,6,710,Wind,257,Thursday,September,Fall
12/17/2020,7,8,5368,Wind,352,Thursday,December,Winter
11/10/2022,17,18,3142,Wind,314,Thursday,November,Fall
7/2/2022,22,23,1832,Wind,183,Saturday,July,Summer
3/17/2023,9,10,9108,Wind,76,Friday,March,Spring
3/29/2023,12,13,9902,Solar,88,Wednesday,March,Spring
6/27/2025,11,12,9500,Solar,178,Friday,June,Summer
2/9/2025,5,6,3088,Wind,40,Sunday,February,Winter
9/18/2020,14,15,6021,Wind,262,Friday,September,Fall
11/18/2024,7,8,9481,Wind,323,Monday,November,Fall
4/19/2022,11,12,4623,Solar,109,Tuesday,April,Spring
11/27/2020,10,11,2632,Wind,332,Friday,November,Fall
11/16/2020,11,12,9214,Wind,321,Monday,November,Fall
2/12/2020,2,3,9274,Wind,43,Wednesday,February,Winter
7/15/2021,0,1,7907,Wind,196,Thursday,July,Summer
11/27/2025,4,5,6967,Wind,331,Thursday,November,Fall
8/5/2024,14,15,8671,Solar,218,Monday,August,Summer
5/16/2021,20,21,9142,Wind,136,Sunday,May,Spring
2/24/2021,21,22,6699,Wind,55,Wednesday,February,Winter
3/5/2020,6,7,5871,Wind,65,Thursday,March,Spring
6/3/2024,1,2,3047,Wind,155,Monday,June,Summer
2/6/2025,7,8,5595,Wind,37,Thursday,February,Winter
9/2/2023,2,3,2089,Wind,245,Saturday,September,Fall
11/14/2022,16,17,4420,Wind,318,Monday,November,Fall
1/31/2020,9,10,6229,Wind,31,Friday,January,Winter
6/13/2021,7,8,2420,Wind,164,Sunday,June,Summer
8/14/2024,19,20,3688,Wind,227,Wednesday,August,Summer
5/25/2024,18,19,3720,Solar,146,Saturday,May,Spring
12/27/2020,22,23,7389,Wind,362,Sunday,December,Winter
4/1/2020,13,14,5326,Solar,92,Wednesday,April,Spring
1/18/2023,18,19,5216,Wind,18,Wednesday,January,Winter
3/13/2021,23,0,11499,Wind,72,Saturday,March,Spring
7/25/2024,9,10,4811,Solar,207,Thursday,July,Summer
12/25/2024,11,12,3467,Solar,360,Wednesday,December,Winter
6/23/2023,6,7,1435,Wind,174,Friday,June,Summer
4/22/2022,14,15,8327,Solar,112,Friday,April,Spring
3/16/2020,14,15,3423,Wind,76,Monday,March,Spring
6/6/2022,1,2,2710,Wind,157,Monday,June,Summer
12/11/2021,0,1,10034,Wind,345,Saturday,December,Winter
10/12/2021,8,9,2616,Wind,285,Tuesday,October,Fall
4/8/2025,11,12,9010,Solar,98,Tuesday,April,Spring
7/30/2025,11,12,7443,Solar,211,Wednesday,July,Summer
12/19/2020,8,9,11340,Wind,354,Saturday,December,Winter
7/6/2023,13,14,7124,Solar,187,Thursday,July,Summer
6/13/2021,15,16,4905,Solar,164,Sunday,June,Summer
7/11/2020,10,11,4169,Solar,193,Saturday,July,Summer
9/4/2020,18,19,2508,Solar,248,Friday,September,Fall
8/18/2020,21,22,697,Wind,231,Tuesday,August,Summer
6/23/2024,19,20,3387,Solar,175,Sunday,June,Summer
12/18/2020,5,6,5793,Wind,353,Friday,December,Winter
10/4/2025,6,7,17093,Wind,277,Saturday,October,Fall
3/12/2024,22,23,8894,Wind,72,Tuesday,March,Spring
10/21/2024,9,10,5133,Wind,295,Monday,October,Fall
3/11/2025,22,23,4647,Wind,70,Tuesday,March,Spring
8/6/2021,13,14,12722,Wind,218,Friday,August,Summer
1/25/2025,15,16,5523,Wind,25,Saturday,January,Winter
3/12/2020,3,4,10434,Wind,72,Thursday,March,Spring
12/28/2021,1,2,12227,Wind,362,Tuesday,December,Winter
6/8/2023,7,8,4772,Wind,159,Thursday,June,Summer
10/3/2024,11,12,11198,Wind,277,Thursday,October,Fall
1/18/2023,19,20,5226,Wind,18,Wednesday,January,Winter
6/6/2022,4,5,1864,Wind,157,Monday,June,Summer
12/8/2021,18,19,5364,Wind,342,Wednesday,December,Winter
3/15/2020,1,2,3727,Wind,75,Sunday,March,Spring
3/18/2022,12,13,14015,Wind,77,Friday,March,Spring
3/11/2022,20,21,10416,Wind,70,Friday,March,Spring
2/6/2025,16,17,12071,Wind,37,Thursday,February,Winter
4/23/2022,0,1,5823,Wind,113,Saturday,April,Spring
2/13/2023,14,15,6344,Solar,44,Monday,February,Winter
12/26/2023,20,21,2721,Wind,360,Tuesday,December,Winter
8/24/2020,0,1,2460,Wind,237,Monday,August,Summer
10/29/2020,13,14,8549,Wind,303,Thursday,October,Fall
5/24/2022,23,0,1737,Wind,144,Tuesday,May,Spring
10/21/2024,8,9,4204,Wind,295,Monday,October,Fall
4/16/2022,18,19,8184,Wind,106,Saturday,April,Spring
5/16/2022,19,20,1701,Solar,136,Monday,May,Spring
5/19/2024,23,0,1146,Wind,140,Sunday,May,Spring
10/9/2022,17,18,3480,Solar,282,Sunday,October,Fall
5/19/2022,10,11,7130,Wind,139,Thursday,May,Spring
7/1/2022,7,8,2336,Wind,182,Friday,July,Summer
5/9/2023,8,9,4052,Wind,129,Tuesday,May,Spring
2/3/2022,16,17,2472,Wind,34,Thursday,February,Winter
6/6/2021,14,15,5111,Solar,157,Sunday,June,Summer
9/20/2021,4,5,1552,Wind,263,Monday,September,Fall
5/8/2024,19,20,4590,Wind,129,Wednesday,May,Spring
5/31/2020,17,18,6587,Wind,152,Sunday,May,Spring
3/27/2022,22,23,2412,Wind,86,Sunday,March,Spring
9/12/2022,18,19,2581,Wind,255,Monday,September,Fall
8/18/2024,11,12,8765,Solar,231,Sunday,August,Summer
5/4/2020,15,16,5337,Solar,125,Monday,May,Spring
10/23/2024,6,7,1709,Wind,297,Wednesday,October,Fall
2/10/2022,6,7,5360,Wind,41,Thursday,February,Winter
4/8/2020,17,18,2595,Solar,99,Wednesday,April,Spring
9/2/2022,1,2,2750,Wind,245,Friday,September,Fall
5/22/2022,2,3,2963,Wind,142,Sunday,May,Spring
1/28/2022,8,9,1216,Wind,28,Friday,January,Winter
7/12/2021,5,6,2454,Wind,193,Monday,July,Summer
11/5/2023,1,2,14785,Wind,309,Sunday,November,Fall
2/12/2024,7,8,2207,Wind,43,Monday,February,Winter
6/9/2024,4,5,3499,Wind,161,Sunday,June,Summer
5/3/2023,18,19,8694,Wind,123,Wednesday,May,Spring
2/22/2025,9,10,10315,Wind,53,Saturday,February,Winter
11/23/2024,3,4,9018,Wind,328,Saturday,November,Fall
4/20/2024,23,0,6161,Wind,111,Saturday,April,Spring
1/14/2022,10,11,2655,Solar,14,Friday,January,Winter
12/22/2024,14,15,18534,Wind,357,Sunday,December,Winter
1/1/2023,16,17,9041,Wind,1,Sunday,January,Winter
7/31/2023,6,7,8004,Wind,212,Monday,July,Summer
6/19/2021,15,16,4434,Solar,170,Saturday,June,Summer
6/15/2025,7,8,2381,Wind,166,Sunday,June,Summer
7/13/2023,11,12,8460,Solar,194,Thursday,July,Summer
11/20/2022,14,15,11679,Wind,324,Sunday,November,Fall
7/29/2023,16,17,11633,Wind,210,Saturday,July,Summer
6/26/2024,17,18,5746,Solar,178,Wednesday,June,Summer
5/27/2025,2,3,6782,Wind,147,Tuesday,May,Spring
5/17/2023,11,12,12591,Solar,137,Wednesday,May,Spring
11/5/2021,8,9,3138,Wind,309,Friday,November,Fall
9/20/2024,9,10,6343,Wind,264,Friday,September,Fall
8/2/2023,15,16,20359,Wind,214,Wednesday,August,Summer
5/13/2024,23,0,6358,Wind,134,Monday,May,Spring
12/25/2024,16,17,1322,Wind,360,Wednesday,December,Winter
9/29/2020,18,19,1250,Wind,273,Tuesday,September,Fall
2/4/2021,9,10,2756,Wind,35,Thursday,February,Winter
1/26/2021,12,13,5374,Wind,26,Tuesday,January,Winter
3/2/2023,11,12,5920,Solar,61,Thursday,March,Spring
8/29/2020,0,1,3168,Wind,242,Saturday,August,Summer
8/28/2020,14,15,8716,Wind,241,Friday,August,Summer
5/10/2023,8,9,7126,Wind,130,Wednesday,May,Spring
4/24/2023,17,18,8130,Wind,114,Monday,April,Spring
4/19/2022,2,3,2920,Wind,109,Tuesday,April,Spring
4/23/2022,13,14,8065,Wind,113,Saturday,April,Spring
9/25/2025,1,2,3175,Wind,268,Thursday,September,Fall
5/17/2023,10,11,10667,Solar,137,Wednesday,May,Spring
3/17/2020,21,22,596,Wind,77,Tuesday,March,Spring
7/6/2023,12,13,6939,Solar,187,Thursday,July,Summer
4/9/2020,9,10,2595,Solar,100,Thursday,April,Spring
5/1/2023,12,13,7715,Solar,121,Monday,May,Spring
4/21/2023,18,19,4021,Solar,111,Friday,April,Spring
5/5/2023,22,23,1319,Wind,125,Friday,May,Spring
4/24/2020,1,2,1022,Wind,115,Friday,April,Spring
7/17/2023,12,13,9207,Solar,198,Monday,July,Summer
11/6/2020,18,19,6817,Wind,311,Friday,November,Fall
3/17/2020,9,10,1714,Solar,77,Tuesday,March,Spring
7/28/2020,7,8,3211,Wind,210,Tuesday,July,Summer
7/19/2022,6,7,5940,Wind,200,Tuesday,July,Summer
7/9/2020,18,19,5677,Wind,191,Thursday,July,Summer
6/24/2023,7,8,3270,Wind,175,Saturday,June,Summer
11/27/2021,10,11,9185,Wind,331,Saturday,November,Fall
2/12/2022,14,15,7521,Solar,43,Saturday,February,Winter
11/6/2021,4,5,2796,Wind,310,Saturday,November,Fall
2/14/2021,15,16,9763,Wind,45,Sunday,February,Winter
6/24/2024,18,19,5797,Solar,176,Monday,June,Summer
4/4/2020,9,10,3591,Wind,95,Saturday,April,Spring
10/23/2022,0,1,6954,Wind,296,Sunday,October,Fall
12/10/2023,20,21,15601,Wind,344,Sunday,December,Winter
5/26/2023,21,22,7754,Wind,146,Friday,May,Spring
5/22/2025,20,21,5574,Wind,142,Thursday,May,Spring
12/27/2021,1,2,3966,Wind,361,Monday,December,Winter
6/27/2022,6,7,1238,Wind,178,Monday,June,Summer
3/24/2022,16,17,4803,Solar,83,Thursday,March,Spring
9/27/2020,18,19,8052,Wind,271,Sunday,September,Fall
5/2/2022,6,7,2029,Wind,122,Monday,May,Spring
1/5/2020,9,10,2245,Wind,5,Sunday,January,Winter
2/15/2021,0,1,9792,Wind,46,Monday,February,Winter
1/16/2024,1,2,2010,Wind,16,Tuesday,January,Winter
1/16/2025,16,17,3827,Wind,16,Thursday,January,Winter
6/20/2025,14,15,11681,Solar,171,Friday,June,Summer
5/14/2023,8,9,3884,Wind,134,Sunday,May,Spring
6/16/2025,9,10,6557,Solar,167,Monday,June,Summer
2/4/2021,17,18,2798,Wind,35,Thursday,February,Winter
10/22/2023,3,4,8628,Wind,295,Sunday,October,Fall
5/19/2024,10,11,2455,Solar,140,Sunday,May,Spring
5/17/2022,9,10,4347,Solar,137,Tuesday,May,Spring
6/4/2022,15,16,5828,Solar,155,Saturday,June,Summer
2/22/2025,5,6,10238,Wind,53,Saturday,February,Winter
12/7/2021,14,15,12122,Wind,341,Tuesday,December,Winter
9/6/2024,17,18,4893,Solar,250,Friday,September,Fall
7/12/2022,6,7,2572,Wind,193,Tuesday,July,Summer
11/15/2024,14,15,4951,Solar,320,Friday,November,Fall
3/22/2020,13,14,10827,Wind,82,Sunday,March,Spring
9/30/2023,7,8,889,Wind,273,Saturday,September,Fall
8/15/2025,1,2,4242,Wind,227,Friday,August,Summer
1/7/2023,14,15,15880,Wind,7,Saturday,January,Winter
2/28/2024,2,3,3703,Wind,59,Wednesday,February,Winter
4/15/2023,17,18,13143,Wind,105,Saturday,April,Spring
4/1/2021,15,16,6405,Solar,91,Thursday,April,Spring
9/22/2025,12,13,15222,Wind,265,Monday,September,Fall
3/29/2023,2,3,4865,Wind,88,Wednesday,March,Spring
2/7/2021,8,9,4598,Wind,38,Sunday,February,Winter
8/3/2022,18,19,3379,Solar,215,Wednesday,August,Summer
3/11/2022,16,17,12628,Wind,70,Friday,March,Spring
9/22/2021,20,21,1945,Wind,265,Wednesday,September,Fall
7/24/2024,6,7,1089,Wind,206,Wednesday,July,Summer
4/2/2025,18,19,15030,Wind,92,Wednesday,April,Spring
8/1/2024,0,1,1649,Wind,214,Thursday,August,Summer
2/15/2020,9,10,8611,Wind,46,Saturday,February,Winter
12/28/2020,16,17,9395,Wind,363,Monday,December,Winter
6/30/2023,13,14,8565,Solar,181,Friday,June,Summer
5/31/2022,0,1,2131,Wind,151,Tuesday,May,Spring
6/21/2024,6,7,1717,Wind,173,Friday,June,Summer
